,post_caption
238640,"Meeting Another Biggest Eco Enzyme FB group in Hsinchu Taiwan.  I need to took 1.5hrs train to reach there to visit them and exchange with them. 
These are their 40L and many other vinegar making also edible fruit enzymes.  They apply EE to plants all their own veggies. ♻️♻️💪🏼🌎
#ecoenzyme #ecoenzymes #ecofriendly #ecofriendlyliving #greenliving #zerowasteliving #reducefoodwaste #reducefoodwastesg #wastesegregationeducation"
238641,Many 50-60L Eco Enzyme storing in their places for blessing and teaching purposes.  #ecoenzyme #ecoenzymes #ecofriendly #ecofriendlyliving #greenliving #zerowasteliving #reducefoodwaste #reducefoodwastesg #wastesegregationeducation
238642,"Exchanging Eco Friendly Knowledges with the biggest Eco Enzyme Group in Taiwan. 
Experiencing making Eco Enzyme CP Soap.

I am using rosemary eco enzyme to make CP soap at a very simple & back to basic environment.  Their place is just like any simple places without too much renovation , not very grand that feeling unrelated to eco friendly. 
#ecoenzyme #ecoenzymes #ecoenzymesoap #環保酵素冷製皂 #環保酵素皂 #ecofriendly #ecofriendlyliving #greenliving #zerowasteliving #reducefoodwaste #reducefoodwastesg #cpsoapmaking  #cpsoapmaker"
238643,"Day 1 Eco Friendly Exchange Experiencing with one of the biggest Eco Enzyme non profit FB Group in Taiwan. 
Exchanging my handmade Eco Muli-Purpose Beeswax Wrap to them. 
They let me experience making Eco Enzyme Cold Pressed Soap at their workshop place. 
#ecoenzyme #ecoenzymes #ecoenzymesoap #環保酵素冷製皂 #環保酵素皂 #ecofriendly #ecofriendlyliving #greenliving #zerowasteliving #reducefoodwaste #reducefoodwastesg #beeswaxwrap #cpsoap #ecoenzymecpsoap"
238665,"Vegan Meals of today Flight & Compost Bin♻️♻️💪🏼🌎🙏🏽
not very enjoy on flight Vegan meals so prepared from my own garden grown. 🌱🌱🌎Heirloom Black tomatoes, rosemary and mini Greek Basil all homegrown goes with Quinoa spaghetti.  Again all onion, tomatoes & oranges peels just go into my compost bin to reduce food wastes♻️🌎 #compostbin #homecomposting #homegrown #homegrower #growyourownfood #growyourownfoods #composting #compost #reducefoodwaste #reducefoodwastesg #homecooking #fromgardentotable #fromgardentoflightmeal #fromgardentoflight #veganfood #veganfoodshare #veganfoodshares #veganrecipes #vegancompost #vegancomposting"
241486,"Don't throw those tea bags/leaves, and coffee after brewing. These provide great nutrients for your plants.

So much better to spinkle them in the garden rather than dumping them into the bin.
.
.
.

#zerowaste #foodwaste #coffee #tea #growyourown #ecotips"
241493,"Be conscious of what you're consuming.
.
.
.

#midweekmotivation #foodsecurity #foodwaste #zerowaste #busstop #ads #sustainability #firstworldproblems"
241509,"More good deeds and less waste during this blessed month. #Ramadan Kareem!

#happyramadan #islam #zerowaste #foodwaste #sustainability"
248114,"We are very happy to hear feedback from our lovely customers. Your order made our day! We hope we make yours💚

Order your milk now! It's one-click away 👉 https://bit.ly/3qM3l6f

#nmfsg #singaporefood #nutmilk #almondmilk #matcha #milksg #dairyfree #vegan #oatmilk #glutenfree #plantbased #veganfood #sgfood #sgvegan #reducewaste #sustainablesingapore #foodporn #igsg #sgig #food #foodie #plantbaseddiet #plantbasedmilk #plantbasedmeals #plantbasedketo"
248210,"We are very happy to hear feedbacks from our beloved customers. Click link on bio to start your sustainable journey with us.

#nmfsg #singaporefood #nutmilk #almondmilk #matcha #milksg #dairyfree #vegan #oatmilk #glutenfree #plantbased #veganfood #sgfood #sgvegan #reducewaste #sustainablesingapore #foodporn #igsg #sgig #food #foodie #walnutmilk #walnutoats #oatmilk #oats #walnut"
248212,"Plant-based diets might look alike, choose wisely and focus on the quality! Find out more qualified plant-based products here! (link on bio)

#nmfsg #singaporefood #nutmilk #almondmilk #matcha #milksg #dairyfree #vegan #oatmilk #glutenfree #plantbased #veganfood #sgfood #sgvegan #reducewaste #sustainablesingapore #foodporn #igsg #sgig #food #foodie #walnutmilk #walnutoats #oatmilk #oats #walnut"
258352,One more quick 30min dish added to the repertoire -  Mushroom Beef Pasta with Mustard Sour Cream sauce 😄 #ckhomemadefoods #useleftovers #oneofthesethingsisnotliketheother #cksmiski #smiski #towardszerowaste #reducefoodwaste
259825,"Vermicomposting Singapore-style Part 2: 

By letting compost worms express their natural wormness to move horizontally,* Oi Lian (our resident worm expert) realised it’s possible to house thousands of them comfortably in a single shallow drawer. She calls this method “side-migration”. 

In regular store-bought stacked worm bins, compost worms have to move vertically between tiers. Unlike burrowing earthworms that move up and down inside the soil, compost worms prefer to move sideways close to the surface, under the protection of some cover. Oi Lian harnesses this natural behaviour and adapts it to the drawer lifestyle.

Each drawer is a self-contained stand-alone worm bin. A tower of drawers becomes an effective and compact food scrap processing system that will sit happily in any shady corner of a garden, common corridor, or even in the house.

How effective? Oi Lian gets asked this a lot. She did some calculations - 16 drawers of worms can consume 80kg of food scraps and produce 20L of vermicompost. All in a month.

In fact, the worms are such mighty processors that Oi Lian regularly collects unsellable bruised fruits and vegetables from the market, to keep up with their appetite. 

Imagine the amount of food scraps, and unwanted fruit and vegetables (not to mention plastic drawers!) rescued from a fate in the incinerators. 

So this cute and easy system is not simply play play one. It really works and doesn’t cost the earth 😙. And the many who have learned from her to start their own worm drawers can attest to that.

#projectblackgoldsg #sgcompoststory #vermicompost #vermicomposting #compost #communitycomposting #urbangardening #urbangarden #foodscrappingsg #buildabetterfuture #zerowaste #zerowastesg #regenerativepractices #regenerateforlife #compostworms #worms"
259826,"Okay, so it turns out these mighty little eaters love AGED “black-listed” food; talk about a discerning palate!

Some examples of black-listed food for composting worms are citrus fruits, onions, garlic, capsicums, chillies, because their properties burn the worms’ skin. I mean, have you ever rubbed your eyes after cutting chillies, or inhaled onion fumes?🔥😱😭

 However, our resident worm expert, Liow Oi Lian, regularly feeds her worms these black-listed food scraps, such as citrus rinds, rinsed aloe vera bits, even chopped up capsicums and chilli. 

The secret is in the “how”. She leaves the contentious food scraps in a corner of the bin (not scattered all over like confetti), and lets the worms decide when to approach. When these scraps have aged sufficiently (many many days later), they become safe to consume. Then it’s an all out dash to the feast. Worms know their own minds and will choose when to travel to eat, I’m sure we can all identify with that 😉

#projectblackgoldsg #sgcompoststory #vermicompost #vermicomposting #compost #communitycomposting #urbangardening #urbangarden #foodscrappingsg #buildabetterfuture #zerowaste #zerowastesg #regenerativepractices #regenerateforlife #compostworms #worms"
259827,"Vermicomposting Singapore style 😀. Meet the Worm Drawers! An all-in-one food-scrap-to-compost waste management system hidden in a chest of drawers!
.
.
Thanks to the out-of-the-worm-bin thinking of one woman (more about that in another post), this system could now be yours! .
.
All you need to do is: rescue an abandoned stack of plastic drawers (quite abundant in Singapore, so keep an eye out) and make nice beds to welcome a batch of compost worms, who are cousins of the garden earthworm. .
.
How efficient is this system? Around 16 Drawers of worms (that’s about 8000 adult worms) will chomp through 80kg of plant-based food scraps each month. .
.
What’s in a worm’s feast? Household fruit and vegetable scraps, coffee grounds from kopitiams, fruit pulp from juice stalls, discarded “ugly” fruit from the market. These worms keep their concierge busy!
.
.
Why drawers? Because they have a small footprint, are so much easier to handle than the usual stacked worm bins (especially on older backs), and a great example of upcycling. .
.
Cool, hor? Stay tuned for more about this system and the woman who came up with it. She has been teaching it to local gardeners for many years. .
.
Location credits: Ground-Up Initiative, #Singapore. [Oops, location has been amended. It was not at Tampines North Zone 5 Residents Committee Senior Citizens Club, as previously stated]
.
.
#projectblackgoldsg #vermicompost #sgcompoststory #zerowastesg #sgfoodstory #compost #worms #livingsoil #buildabetterfuture #vermicomposting #regenerateforlife #regenerativepractices #soilfoodweb 
#upcycling"
259830,"Hey there! How has everyone been?

The Project Black Gold team have been busy bees~ 
Although we can't bury our hands and noses in compost yet, we have been talking to compost makers all around Singapore! It's been such a joy listening to their stories and listening to how each one of us compost in Singapore in similar yet different ways, same same but different!

Whether it's in a bin, a pile, a trench, with worms... Oh the possibilities!

How do you make compost?
Comment below and let us know! 😄💩
.
.
.
#projectblackgoldsg #communitycomposting #sgcomposting #compostsg #singapore #soilhealth #foodwaste #foodscraps #foodscapecollective"
263880,"Wonder woman drown in #therottenfruitbox... Can't decide where to start...
.
#reducefoodwaste"
270363,"Did you know that most of the food waste comes from our home? This shows the lack of education in reducing food waste in our kitchen! Do check out our previous posts for some ideas!! such as our frozen bananas, potato crisps and more! Reducing food waste doesn't have to be boring, it can be delicious too 😜 Do share your favourite food waste hack in the comments below so that we could all learn from one another! ☺️ source: https://www.lovefoodhatewaste.com/why-save-food 
#foodwaste #food #home #sustainability #sustainableliving #singapore"
274232,"Sunday is for making something special. Made my first cheese!
Simple #ricotta cheese using full cream milk, white vinegar and salt.
I like cheese but they are so expensive in the supermarket. So I thought try making the simplest one. Only technical part is heating the milk to the right temperature. Looks great and taste good. Advantage of making my own cheese is that I can do small portion, finish it within a week. In this way, nothing gets wasted and thrown away which so often happens with store bought cheeses. And the leftover whey from the cheese making is saved which I will use it to bake bread. Again nothing goes to waste. This cheese making is quite therapeutic and could become one of my weekend routine. Happy Days!😊🧀
.
#ngeekapfood #homemadecheese #homemadericotta #italianfood #cheese #ricottacheese #artisanmade #artisancheese #italiancheese #cheesemaking #foodie #foodgeek #weekendvibes #nofoodwaste #homecook #madefromscratch #lifesimplepleasures"
274254,"Keep walking through the storm. Your rainbow is waiting on the other side. ~ Heather Stillufsen
.
Breakfast in the time of COVID-19.
Making stale bread taste great again.  Utilising some forgotten ingredients to make a bread and pudding.
 Cubed stale bread soaked overnight in custard flavoured with vanilla extract, ground cinnamon, ground nutmeg. Also threw in some frozen cranberries bought 2 years ago, quick cooking oats with some brown sugar and knobs of butter for some sweet, crunchy top. 
This pudding taste of Christmas because of the spiced custard and cranberries. Hopefully all is well when Christmas comes. .
#breadpudding #ngeekapfood #breadandbutterpudding #comfortfood #nofoodwaste #sgfood #tastelikeChristmas #foodforthought #stayhome #stayhealthy #healthybreakfast #spicedpudding #staypositive #circuitbreaker #foodie #foodporn"
274257,"Be resourceful and use what you have.
.
Lunch, dinner and maybe tomorrow’s breakfast is served. 😅

Cooking in a time of COVID-19 means using everything you got before you are force to go out and buy groceries.
Last portion of pre-marinated pork mince, a century egg from last century(way pass expiry date and already shrunk to half its size when opened), half dried wrinkly old ginger, some new rice, spring onions, soy sauce, sesame oil and white pepper. . 
Simple porridge , no You Tiao, no problem.
.
#ngeekapfood #comfortfood #porridge #centuryeggporridge #congee #皮蛋粥 #sgfood #stayhome #stayhealthy #simplefood #resourceful #chinesefood #KeepCookingCarryOn #circuitbreaker #lifequote #onepotcooking #wastenothing #eatwell"
274261,"It’s all in the effort.
.
Cooking late dinner with leftover brown and red rice. My take on Mexican Rice using minced pork, garlic, red onion, fresh chopped tomatoes, tomato paste, bird’s eye chillies, cumin seeds and chicken stock. Finish off with freshly chopped Cilantro and some lemon juice.
.
#mexicanrice #ngeekapfood #leftovers #nofoodwaste #comfortfood #tomatorice #healthyrice #homecooking. #onepancooking #foodforthought #foodie #eatwell #ricedish #lifequote #latenightcooking"
274262,"Make the best of what you have.
.
Late lunch.
Leftover cooked rice, one piece of leftover KFC Thai Crunch chicken thigh deboned, baby romaine lettuce, tomatoes and home-made Tonkatsu sauce. .
#ngeekapfood #KFCchicken #leftovers #weekendvibes #goodvibes #friedchicken #tonkatsusauce #comfortfood #foodporn #foodgasm #foodcoma #nowaste #lifequote #foodforthought #asianfood"
274312,"Learn the rules like a pro and break them like an artist. ~ Pablo Picasso .
.
Using leftover dough, home made pesto and made some swirl bread. 
Utilising the ingredients before they turn bad and reducing food waste.
.
Still learning how to make good bread as this batch of dough is not very good. 🥖 🍞 .
.
#ngeekapfood #bakingbread #pestobread #homebaked #nofoodwaste #zerofoodwaste #swirlbread #instabread #lifequote #picassoquote #foodforthought #homebaker #goodvibes #weekendvibes #fromMyOven #breadporn #braidedbread #learningaboutbread"
274313,"When life throws you a rainy day, play in the puddles. ~ Pooh Bear
.
Dry stale bread cooked in milk, cocoa powder, some semi-sweet chocolate, baby oats.Toppings of sliced bananas, nuts/seeds for extra fibre and crunch.
.
#ngeekapfood #comfortfood #chocOatmeal #rainydaymeal #poohbearquote #fibrebreakfast #zerowaste #leftoverbread #nofoodwaste #foodforthought #healthybreakfast #delish #uglydelicious #chocolatebreakfast #breadoatmeal"
274319,"It will never be perfect. Make it work.
.
Kitchen sink savoury egg pancake. 
Only ingredients left in the fridge to make dinner. Leftover roast potatoes , scallions, large red chilli and egg. Added plain flour and water to make the pancake more substantial. .
#ngeekapfood #simplefood #sgfood #frugallife #nofoodwaste #leftovers #homecooked #inMyfryingpan #foodporn #savourypancake #delish #uglydelicious #kitchensinkfood #eggpancake #foodforthought #foodie #greasyfood"
276325,"We envision A “Biophilic City in a Garden” that is supported by a good soil regeneration programme, that provides a space to tie in food waste, involves people in stewarding environmental sustainability, and reduces costs of external imports of soil.⁠⠀
⁠⠀
⁠⠀
The project works to develop an evidence base and to⁠⠀
🎈Keep carbon in soil (“4 per 1000” initiative)⁠⠀
🔎 Engage in data collection & measurement  through citizen science, empowering residents of a place⁠⠀
🏕️ Develop practices for greener infrastructure⁠⠀
🏡 A toolkit for homes, communities, & businesses ⁠⠀
⁠⠀
#projectvisions #weenvision #soilvisions #foodwastetransition #stewarding #sustainability #biophilia #gardencity #greeneconomy #jobs another kind of #evidencebased #soilorganiccarbon #empowerment #residents #placemaking #green_infrastructure"
280483,"My intention is to soak in water to have more roots or at least tiny roots? Not sure if it works but today being the 2nd day, I see shoots at the top of stem!!!

What are this? They are coriander! Found them in the basin which my mum cut off meant to be thrown away

Don't take whatever you need and throw the rest away... Give them new life!!

#zerowaste #savemyworld #gardening #growingcoriander #sowaroot #reducefoodwaste"
280484,"What does garlic grows to? Places garlic bulb in the soil and this is what I've got after 2 weeks 🌱

There are so many uses to those plastic containers tt  are thrown away so conveniently after taking out what you want... They come with fruits, mushroom and even biscuits! Reuse them! 
Sow the unwanted bulk from food ingredients that you will also throw away while preparing your meals

#sowaseed #seedsowing #growinggarlic #recycling #savemyworld #reuse #recycle #seeds #envfriendly #reducefoodwaste #unwantedfood #environnentalfriendly #gardening"
283765,"Happy birthday Singapore! Thank you for keeping us safe and sound and our Home clean and green! #54thbirthdaysingapore #happybirthday #homemade #oreochocolate #cheesecake 
From a simple Oreo cheesecake evolved into a complicated Oreo chocolate cheesecake with handmade SG flag by Oreo cream. This was tedious especially making the 5stars! #nofoodwastage"
286405,"2 over ripe banana. I decided to do it the macik style with dashes of contemporary.

Yoghurt. Self raising flour. Water. Cinnamon sugar. Sea salt.

Verdict :taste is good but need to work on a less wet and heavy batter and higher temperature oil to deep fry.

#lifeofmummymei #nofoodwaste #jiak"
286423,"Bakes with biscuits that my child is not interested to eat. Waiting to pour dark chocolate over it and some colourful sprinkles.

#lifeofmummymei #zerofoodwaste #savelikeahmah"
286457,Happy munching lunching! #lifeofmummymei #beefleftover #nofoodwaste
287030,"Burnt Miso-Fermented Garlic Rojak | Mushroom Pot-Stickers | Vegetable Sayur Lodeh | Young Jack Dum Biryani | The Red Dot Vegan Dessert | Virgin Mojito Mocktail
.
.
5-Course Vegan Dinner
Date: August 27th, 28th
Time: 7:00 p.m. – 9:30 p.m.
Venue: Plentyfull, 9 Raffles Boulevard, #01-79/80 Millenia Walk, Singapore 039596
Click the booking link in my bio to chope your seats. .
To make a reservation contact hello@plentyfull.com or +65 64932996.
.
.
Virgin Mojito Mocktail: Muscovado sugar, lemon balm,  bergamot mint, lime & soda
.
.
""Rojak"" : Local flora, burnt miso, peanut butter & fermented garlic
.
.
Mushroom Pot-Stickers : Bok choy, mushroom blue pea gyoza & purple vegetable broth
.
.
“Sayur Lodeh” : Neighbour-ing vegetables cooked in spicy coconut broth by Sham’s Mum
.
.
“Dum Briyani” : Young Jackfruit, spiced basmati rice with raspberry-chilli chutney, pineapple achaar and coconut yoghurt.
.
.
The Red Dot Dessert : Local strawberries, coconut jelly, vegan chocolate sponge & vegan meringue
.
.

#IamPlentyLocal #Plentyfullsg #Kechilkitchen #sowmiyavenkatesansg #sgbicentennial #Biodiversefood #sustainability #Zerowaste #actnow #sustainablegastronomy #plantbased #chefsmanifesto #chefsarechangemakers #Realfood #goodfood #Plantforward #betterfortheplanet #Appetitetochange #whatsdoneisplated #Restaurantpopups #eatthemtodefeatthem"
287050,"September has been amazing. Food Citizen's team has been delivering workshops and talks for schools looking to be zero waste, take climate action, explore composting, care for nature and more...

This wouldn't have been possible without the consistent steps we took in following our curiosity and learning alongside the network that Food Citizen is a part of. There is much satisfaction in distilling insights and delivering them as authentically-delivered services to schools. 

Earlier this week, our team conducted a composting workshop for a school. The school was intrigued by the idea of auditing food waste in school, we were asked to integrate it in.

While we advocate for food waste audits, we had not participated in one ourselves. It was a personal triumph when we realised that what we knew was enough. With this internal shift, the creation of teacher's guide, student's worksheet and slides came naturally. We know that what we provided is of value to the school.

This is a quote that we shared. The workshop was online and 100 people called in. They included the school's vice principal, interested teachers, student leaders and climate action champs.

#workshopsforschools #foodwaste #composting #climateactionsg"
297522,"One thing that restaurants can do during this period is to think about how they can improve their business operations when they reopen – not just for financial gains but also to fulfill their responsibility to maintain the eco-system. To be in the F&B industry means having a deep respect for food, but at the same time, restaurants also know how much food waste is produced in kitchens. What goes around comes around - an easy solution to reduce food waste is composting, which is actually very simple and inexpensive as long as the right systems are set up.

Have you thought about how you can reduce food waste in your restaurant? Share with us in the comments below!

#montgomeryasia #exhibitor #exhibition #cuisine #tradeeventsg #tradeshow #sgevents #singaporeevent #specialtyfood #finefood #foodshow2020 #foodexhibition #b2b #foodphotography #food #foodie #foodandbeverages #foodindustry #sgig #igfood #SFFA2020 #restaurants #restauranttips #ecofriendly #foodcompost #greenliving #climatechange #foodwaste #nomorefoodwaste"
298065,"Happy Earth Day! 🌏

At Sedno we make sure that our products not only taste amazing but we also do our part to save the planet:
👉we suport sustainable and ethical food producers,
👉we only use glass packaging, which you can repurpose and reuse,
👉we do our best to deliver the goods to you packed in an environment friendly way.

#sednofood #EarthDay2021 #earthday #savetheplanet #sgvegan #sgfoodie #sgfoodgram #SgFoodLover #sghealthyliving #sghealthyfood #sustainable #zerowaste #zerowastesg"
300711,"Is it really easy to only shop sustainably? We challenged our writer to shop eco-consciously for a month. Swipe to see what she got up to or visit futr.sg to read the full article!

#sustainability #sustainableshopping #sustainableshoppingtips #wholefoods #ecofriendlyliving #ecoconscious #zerowaste #recyclingideas #upcycling #futrliving"
300712,"Getting rid of leftovers? Why not give composting a go? It's a natural way of recycling organic matter by speeding up decomposition and turning your scrap into valuable fertiliser for gardening. You can compost various things including coffee grounds, fruit peels and even leafy veggies. 

Though you can purchase compost bins from various shops, you can also make your own at home. Apart from being a fun DIY project, you’d also be doing wonders for the environment!
 
Visit cutt.ly/7bhVpeH for some useful tips on composting!

#composting #compost #foodwaste #beautifulwaste #recycling #zerowaste #reducewaste #compostbin #sustainablelifestyle #ecofriendlyliving #ecoliving #sustainability #igsg #greenliving #greentips #futrliving"
302966,"NTUC FairPrice is having their annual food donation drive and they are participating with Food Bank and Food from the Heart (Do note of the wish list).

For more details on the participating stores : https://www.fairprice.com.sg/events/in-store/food-donation-drive/

Every donation you made goes a long way to help others stays away from hunger. 🍞🍚🍜

#Singapore #donateyourfood #donatesg #sustainablelivingsg #lessfoodwaste #donationdrive"
304630,"Our oceans are the real ‘lungs of the earth’ as they produce most of the oxygen which we breathe.

Let's protect our waters — minimise plastic waste, conserve water, and choose locally sourced seafood whenever possible!

As we protect our oceans, we are also protecting the countless precious marine life in it 💝🐬🐠
 
#chatrity #charity #charitysingapore #careforenvironment #environmentallyconscious #foodwaste #globalwarming #recycle #ZeroWasteSG #Sustainableliving #groundupinitiative #naturesocietysingapore #SaveOurEarth #waterwayswatchsociety #waterwayswatchsingapore"
304631,"It's World Environment Day; as human beings connected to nature, let's pause to celebrate its beauty around us 🌲 

#chatrity #charity #charitysingapore #careforenvironment #environmentallyconscious #foodwaste #globalwarming #recycle #FoodBankSG #ZeroWasteSG #Sustainableliving #groundupinitiative #naturesocietysingapore #SaveOurEarth"
304642,"Striving towards environmental justice since 1970, #RestoreOurEarth is the theme for Earth Day 2021. Let's take every step we can in protecting our home!

#chatrity #charity #charitysingapore #careforenvironment #environmentallyconscious #foodwaste #globalwarming #recycle #FoodBankSG #ZeroWasteSG #Sustainableliving #earthday #earthday2021 #naturesocietysingapore #SaveOurEarth"
304687,"*drum roll* Let us introduce our Cause of the Week series! ✨

Cause of the week: Environment 🌳 Charities listed under this cause tackle a range of problems from carbon footprint to food waste and the list goes on. Let us increase our awareness on such issues and continue to keep a lookout on this space to find out how you can be a change maker for this cause.

#chatrity #charity #charitysingapore #careforenvironment #environmentallyconscious #foodwaste #globalwarming #recycle #FoodBankSG #ZeroWasteSG #Sustainableliving #groundupinitiative #naturesocietysingapore #SaveOurEarth"
307358,"When life gives you lemon🍋🍋🍋

Every week we go thru kilos of lemons to make the juice we need for our dips... leaving us with a lot of lemon peels 🙄❓

😋 As you know most of the flavour and aroma is in the skin and it would be such a waste to throw away these precious yellow strips.

♻️ So we are trying our best to make use of them, wether it’s lemon vinegar, compost, zest for baking ...And whenever we can we make candied 🍋 peels.✨ ( available on request) 

💪 It’s a little work intensive between the washing, peeling, slicing and cooking. But it's the best feeling to make the most of what we have and reduce our impact on the planet. 🤗

👉 And you how do you use your lemon peels?
Don't hesitate to share your tips and recipes with us 😉

#littlegreensteps #upcycling #dontwastefood #sustainability
#recycle #singapore #greenisthenewblack #sustainablelivingguide #sustainability #environment #sustainablecooking
#foodwastewarriors #mindfulliving #zerowastesg #ecofriendly #zerowaste #wegotthisworld
#climateactionsg #ecofriendly #sustainablelifestyle #lowwastelifestyle #environmental #motherearth"
311047,"Sometimes dining hall food just doesn’t hit... so we got you. 😋 Screenshot these for your next meal! Our Campus Cooks series will be bringing to you dorm recipes for mains, desserts and snacks. Maybe drinks too? 🤔 Tell us what YOU want to see!👇🏼

#foodwaste #singapore #nus #uglyfood #onelessbowl #twobowlsdaily #socialcause #foodsg #sgfood #ecowarrior #eco #ecotips #foodwastetips"
311048,"Introducing... UglyFood! 🍊 We’re so happy to share that we have UglyFood as our partner for this project — we love their mission (and their yummy food)! Look out for what we have in store, especially for our fellow NUS kids 👀🍋🍊🍓🍇
⠀⠀⠀⠀⠀⠀⠀⠀⠀
 #foodwaste #singapore #nus #uglyfood #onelessbowl #twobowlsdaily #socialcause #foodsg #sgfood #ecowarrior #eco #ecotips #foodwastetips"
311049,"We’ve been telling you the problems but that just ain’t it. Let’s actually do something about it. Save this post and send it to your friends and family. Change starts from our next grocery trip! 🍴🍚 

#foodwaste #singapore #nus #uglyfood #onelessbowl #twobowlsdaily #socialcause #foodsg #sgfood #ecowarrior #eco #ecotips #foodwastetips"
311050,"We’re a food haven but yet, of 10 households in Singapore, 1 has experienced food insecurity. 💭 It’s not just about filling your stomach, but also about how it can affect someone both physically and mentally. We can do something about it, so let’s get going ⚡️🍚
⠀⠀⠀⠀⠀⠀⠀⠀⠀
 #foodwaste #singapore #nus #uglyfood #onelessbowl #twobowlsdaily #socialcause #foodsg #sgfood #ecowarrior #eco #ecotips #foodwastetips"
311052,"You might be wondering: What’s this project all about? What will I get on this page? Well, we care about reducing food waste, so swipe to see what you can find on our menu! 🍚✨

#foodwaste #singapore #nus #uglyfood #onelessbowl #twobowlsdaily #socialcause #foodsg #sgfood #ecowarrior #eco #ecotips #foodwastetips"
311053,"That’s 2 bowls of rice per person, per day. And yes, that’s how our name came about. Want to know more about combating food waste? Keep your eyes peeled 👀🍌 
⠀⠀⠀⠀⠀⠀⠀⠀⠀
#foodwaste #singapore #nus #uglyfood #onelessbowl #twobowlsdaily #socialcause #foodsg #sgfood #ecowarrior #eco #ecotips #foodwastetips"
311054,"Watch. This. Space. 📺‼️
⠀⠀⠀⠀⠀⠀⠀⠀⠀
 #foodwaste #singapore #nus #uglyfood #onelessbowl #twobowlsdaily #socialcause #foodsg #sgfood #ecowarrior #eco #ecotips #foodwastetips"
311055,"Join us in our mission towards #OneLessBowl 1️⃣🍚 Reducing food waste is about to become so much more fun... 👀⚡️
⠀⠀⠀⠀⠀⠀⠀⠀⠀
 #foodwaste #singapore #nus #uglyfood #onelessbowl #twobowlsdaily #socialcause #foodsg #sgfood #ecowarrior #eco #ecotips #foodwastetips"
316504,"Sinful KFC lunch via delivery, when mummy is the only one in the world who is willing to indulge me in my food wants. Chicken skin although salty but still goes with the cheese sauce meant for the fries. Dessert was Nespresso caramelized coffee with leftover brownies. Stuffed yet still snacking on wasabi macadamia and cashew nuts. Someone save me. #世上只有妈妈好 #nofoodwasharmedorwasted"
318029,"#freegan diet

1. Eel gifted by family
2. Rice from freegan community 
3. Kang kong from veggie food rescue

#reducefoodwaste #freeganism #freeganlife"
323738,"#reducefoodwaste by freezing tomato paste in a reuseable zip bag 

See earlier post: https://www.instagram.com/p/B_q4c3jncmV/?igshid=1q0uj9dbcyrx5

#foodstorage #sustainability #reducewaste #lessplastic #reducereuserecycle #sustainablelifestyle #leavebehindabetterworld #environmentallyconscious #recycle"
323806,"Does this happen to you? Use only 2 tablespoons of tomato paste for the pasta you're making that day and end up throwing the rest away...the waste was driving me crazy so i went online and found this tip. Scoop everything out into a zip bag, spread it out evenly, use a chopstick to make these grooves then lay flat in the freezer. The grooves will make it easier to break off pieces of tomato paste to use. 
#reducefoodwaste #reducewaste #sustainability #lessplastic #reducereuserecycle #sustainablelifestyle #recycle #foodstorage"
323810,"For those trying to find veggies that can last in the fridge so that you can reduce grocery trips or #reducewaste..broccoli when wrapped in foil can last for pretty long. Mine stayed green and firm for 2 weeks. Might have been able to keep for longer but I ate it.  #lessfoodwaste. 
Stay home. Stay safe. Stay sane everyone.

#reducefoodwaste #foodstorage"
323819,"Did you know that if you wrap celery in foil and keep in the fridge it will stay fresh and crunchy for weeks...i just learned this! All celery comes in a plastic packaging..so the longer i can keep celery fresh = #lessfoodwaste and #lessplastic. Win. 
#sustainability #reducereuserecycle #sustainablelifestyle #leavebehindabetterworld #environmentallyconscious #reducewaste #recycle #reducefoodwaste #foodstorage"
323824,"I 💓 our #singaporewetmarket culture ..sadly working life means supermarket shopping is more accessible for me. But..if i can wake up early on the weekends, i try to shop at a wet market where most things aren't prepackaged in plastic. I  try to be as charming and apolegetic as possible as I repeat my request for the sellers to use my produce bags instead of shoving my goods into a small plastic bag. Buying loose also means I only buy what I need so there is #lessfoodwaste. 
#sustainability #lessplastic #reducereuserecycle #leavebehindabetterworld #environmentallyconscious #reducewaste"
335280,"Weekly #zerowaste snack prep Finnish cardamon and cinnamon buns ❤️home away from home. 
#lowwaste #zerowastekitchen #foodprep"
337571,More cake from Mummy! ❤️ #saynotodisposables #nofoodwaste #breakfastatwork #zerowastesg #zerowastejourney #byosingapore
337580,"Once again, just trying to clear the leftovers in the fridge! 😂 Cauliflower seasoned with salt, turmeric and garam masala, with a side of cucumber, ham and creamy sesame dressing #desperateattempts #homecooked #workdaylunch #zerowasteliving #zerowastejourney #healthyeating #recipeideas #nofoodwaste"
340586,"The average Singaporean household tosses out the equivalent of 52 plates of nasi lemak every year. In 2018, 763 million kg of food waste was generated in 2018 – that's the weight of over 54,000 double decker buses! 🚌

Join us at Is Ugly Food Really Ugly? with Pek Hai Lin, Executive Director of Zero Waste SG and Pamela Low, Business Development at TreeDots as they discuss food waste, food “rejection”, and moving towards a circular economy in Singapore. The most active participants stand to win exclusive giveaways!

This virtual session is free and open to everyone! Registration is not required, simply use the link below when you want to join in. See you there! 👋

https://tinyurl.com/ssafoodwaste

#CDLSustainability #circuitbreaker #sustainablelifestyle #SGUnited #foodwaste #food"
